time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-05-24 00:00:00+00:00,1.0,1.0,24.0,6.0
2022-05-25 00:00:00+00:00,1.0,1.0,9.0,2.0
2022-05-26 00:00:00+00:00,3.0,2.0,22.0,4.0
2022-05-27 00:00:00+00:00,5.0,4.0,2.0,1.0
2022-05-28 00:00:00+00:00,1.0,1.0,1.0,1.0
2022-05-29 00:00:00+00:00,2.0,2.0,,
2022-05-30 00:00:00+00:00,1.0,1.0,14.0,5.0
2022-05-31 00:00:00+00:00,2.0,2.0,4.0,3.0
2022-06-01 00:00:00+00:00,689.0,3.0,9.0,3.0
2022-06-02 00:00:00+00:00,693.0,3.0,,
2022-06-03 00:00:00+00:00,7.0,4.0,14.0,3.0
2022-06-04 00:00:00+00:00,5.0,3.0,5.0,2.0
2022-06-05 00:00:00+00:00,4.0,2.0,7.0,4.0
2022-06-06 00:00:00+00:00,,,1.0,1.0
