url_path,views_total,views_unique
/SERVIR-WA/GALUP,34,11
/SERVIR-WA/GALUP/wiki/Scripts,9,1
/SERVIR-WA/GALUP/blob/master/training/1_lu/modules/module3.md,8,3
/SERVIR-WA/GALUP/tree/master/training,6,4
/SERVIR-WA/GALUP/blob/master/training/1_lu/modules/module2.md,6,1
/SERVIR-WA/GALUP/blob/master/training/1_lu/modules/module1.md,5,3
/SERVIR-WA/GALUP/discussions/42,4,2
/SERVIR-WA/GALUP/blob/master/training/2_rs/module1.md,2,2
/SERVIR-WA/GALUP/wiki,2,2
/SERVIR-WA/GALUP/blob/master/training/1_lu/exercises/m1_exercise1.md,2,1
