time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-04-28 00:00:00+00:00,1,1,22,6
2022-04-29 00:00:00+00:00,1,1,44,12
2022-04-30 00:00:00+00:00,1,1,11,6
2022-05-01 00:00:00+00:00,2,2,46,6
2022-05-02 00:00:00+00:00,1,1,4,2
2022-05-03 00:00:00+00:00,1,1,8,2
2022-05-04 00:00:00+00:00,3,2,33,4
2022-05-05 00:00:00+00:00,3,3,91,15
2022-05-06 00:00:00+00:00,2,2,61,11
2022-05-07 00:00:00+00:00,1,1,17,3
2022-05-08 00:00:00+00:00,2,2,13,1
2022-05-09 00:00:00+00:00,1,1,58,14
2022-05-10 00:00:00+00:00,1,1,68,11
2022-05-11 00:00:00+00:00,3,2,103,15
