time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-10-17 00:00:00+00:00,1.0,1.0,2.0,2.0
2022-10-18 00:00:00+00:00,1.0,1.0,37.0,5.0
2022-10-19 00:00:00+00:00,3.0,3.0,3.0,1.0
2022-10-20 00:00:00+00:00,1.0,1.0,4.0,1.0
2022-10-21 00:00:00+00:00,3.0,3.0,4.0,4.0
2022-10-22 00:00:00+00:00,1.0,1.0,1.0,1.0
2022-10-23 00:00:00+00:00,1.0,1.0,,
2022-10-24 00:00:00+00:00,1.0,1.0,5.0,2.0
2022-10-25 00:00:00+00:00,2.0,2.0,4.0,3.0
2022-10-26 00:00:00+00:00,1.0,1.0,7.0,2.0
2022-10-27 00:00:00+00:00,2.0,2.0,7.0,4.0
2022-10-28 00:00:00+00:00,2.0,2.0,9.0,5.0
2022-10-29 00:00:00+00:00,1.0,1.0,,
2022-10-30 00:00:00+00:00,,,1.0,1.0
