url_path,views_total,views_unique
/SERVIR-WA/GALUP,26,5
/SERVIR-WA/GALUP/tree/master/training,9,3
/SERVIR-WA/GALUP/blob/master/training/1_lu/modules/module3.md,8,5
/SERVIR-WA/GALUP/blob/master/training/1_lu/modules/module1.md,6,4
/SERVIR-WA/GALUP/tree/master/training/1_lu/modules,6,3
/SERVIR-WA/GALUP/wiki/Tools,5,4
/SERVIR-WA/GALUP/tree/master/training/1_lu,5,2
/SERVIR-WA/GALUP/find/master,5,1
/SERVIR-WA/GALUP/blob/master/training/1_lu/modules/module2.md,4,3
/SERVIR-WA/GALUP/tree/master/training/2_rs,3,3
