url_path,views_total,views_unique
/SERVIR-WA/GALUP,83,25
/SERVIR-WA/GALUP/blob/master/training/1_lu/modules/module3.md,61,8
/SERVIR-WA/GALUP/blob/master/training/1_lu/modules/module2.md,57,9
/SERVIR-WA/GALUP/blob/master/training/1_lu/modules/module1.md,20,9
/SERVIR-WA/GALUP/blob/master/training/1_lu/exercises/m2_exercise4.md,15,4
/SERVIR-WA/GALUP/wiki/Tools,13,5
/SERVIR-WA/GALUP/blob/master/training/1_lu/exercises/m2_exercise2.md,12,2
/SERVIR-WA/GALUP/wiki/Install,11,5
/SERVIR-WA/GALUP/blob/master/training/1_lu/exercises/m2_exercise1.md,11,3
/SERVIR-WA/GALUP/tree/master/training/1_lu/modules,10,6
