url_path,views_total,views_unique
/SERVIR-WA/GALUP,14,9
/SERVIR-WA/GALUP/tree/master/training/2_rs,13,8
/SERVIR-WA/GALUP/blob/master/training/1_lu/modules/module3.md,11,6
/SERVIR-WA/GALUP/blob/master/training/1_lu/modules/module2.md,5,4
/SERVIR-WA/GALUP/tree/master/training/1_lu/modules,5,4
/SERVIR-WA/GALUP/wiki/Install,5,1
/SERVIR-WA/GALUP/blob/master/training/2_rs/module2.md,4,4
/SERVIR-WA/GALUP/blob/master/training/1_lu/modules/module1.md,4,2
/SERVIR-WA/GALUP/tree/master/training/1_lu,3,3
/SERVIR-WA/GALUP/wiki/Scripts,3,3
