url_path,views_total,views_unique
/SERVIR-WA/GALUP,28,15
/SERVIR-WA/GALUP/blob/master/training/1_lu/modules/module3.md,16,8
/SERVIR-WA/GALUP/blob/master/training/1_lu/modules/module2.md,12,7
/SERVIR-WA/GALUP/wiki/Tools,12,5
/SERVIR-WA/GALUP/blob/master/training/1_lu/modules/module4.md,7,7
/SERVIR-WA/GALUP/tree/master/training,7,5
/SERVIR-WA/GALUP/blob/master/training/1_lu/modules/module1.md,7,4
/SERVIR-WA/GALUP/tree/master/training/2_rs,6,4
/SERVIR-WA/GALUP/wiki/Install,6,2
/SERVIR-WA/GALUP/issues,5,3
