time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-01-10 00:00:00+00:00,2.0,2.0,8.0,3.0
2022-01-11 00:00:00+00:00,1.0,1.0,35.0,4.0
2022-01-12 00:00:00+00:00,2.0,2.0,34.0,4.0
2022-01-13 00:00:00+00:00,1.0,1.0,9.0,1.0
2022-01-14 00:00:00+00:00,4.0,3.0,1.0,1.0
2022-01-15 00:00:00+00:00,1.0,1.0,6.0,1.0
2022-01-16 00:00:00+00:00,1.0,1.0,,
2022-01-17 00:00:00+00:00,2.0,2.0,39.0,4.0
2022-01-18 00:00:00+00:00,1.0,1.0,66.0,1.0
2022-01-19 00:00:00+00:00,3.0,3.0,3.0,2.0
2022-01-20 00:00:00+00:00,1.0,1.0,,
2022-01-21 00:00:00+00:00,1.0,1.0,,
2022-01-22 00:00:00+00:00,2.0,2.0,9.0,1.0
2022-01-23 00:00:00+00:00,,,29.0,1.0
