url_path,views_total,views_unique
/SERVIR-WA/GALUP,19,12
/SERVIR-WA/GALUP/tree/master/training/2_rs,11,7
/SERVIR-WA/GALUP/blob/master/training/1_lu/modules/module3.md,9,3
/SERVIR-WA/GALUP/tree/master/training,6,4
/SERVIR-WA/GALUP/tree/master/training/1_lu/modules,5,3
/SERVIR-WA/GALUP/blob/master/training/2_rs/module2.md,4,2
/SERVIR-WA/GALUP/blob/master/training/1_lu/modules/module4.md,3,3
/SERVIR-WA/GALUP/blob/master/training/1_lu/modules/module2.md,2,2
/SERVIR-WA/GALUP/blob/master/training/2_rs/module4.md,2,2
/SERVIR-WA/GALUP/tree/master/training/1_lu,2,2
