time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-02-08 00:00:00+00:00,1.0,1.0,1,1
2022-02-09 00:00:00+00:00,2.0,2.0,3,2
2022-02-10 00:00:00+00:00,1.0,1.0,3,2
2022-02-11 00:00:00+00:00,1.0,1.0,14,4
2022-02-12 00:00:00+00:00,3.0,3.0,3,2
2022-02-13 00:00:00+00:00,2.0,2.0,12,3
2022-02-14 00:00:00+00:00,4.0,4.0,21,4
2022-02-15 00:00:00+00:00,1.0,1.0,2,2
2022-02-16 00:00:00+00:00,1.0,1.0,12,7
2022-02-17 00:00:00+00:00,2.0,2.0,8,2
2022-02-18 00:00:00+00:00,1.0,1.0,3,1
2022-02-19 00:00:00+00:00,2.0,2.0,5,2
2022-02-20 00:00:00+00:00,1.0,1.0,2,2
2022-02-21 00:00:00+00:00,,,18,5
