time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-05-14 00:00:00+00:00,2,2,,
2022-05-15 00:00:00+00:00,1,1,14.0,2.0
2022-05-16 00:00:00+00:00,4,3,57.0,10.0
2022-05-17 00:00:00+00:00,2,2,94.0,14.0
2022-05-18 00:00:00+00:00,2,2,70.0,17.0
2022-05-19 00:00:00+00:00,1,1,27.0,5.0
2022-05-20 00:00:00+00:00,1,1,29.0,7.0
2022-05-21 00:00:00+00:00,3,3,41.0,8.0
2022-05-22 00:00:00+00:00,2,2,30.0,7.0
2022-05-23 00:00:00+00:00,3,2,232.0,19.0
2022-05-24 00:00:00+00:00,1,1,24.0,6.0
2022-05-25 00:00:00+00:00,1,1,9.0,2.0
2022-05-26 00:00:00+00:00,3,2,22.0,4.0
2022-05-27 00:00:00+00:00,3,2,2.0,1.0
